Industry_Name,Number_of_Firms,Std_Deviation_in_Equity,Std_Deviation_in_Firm_Value,E_D_E_,D_D_E_
Recreation,12,0.42796554687516764,0.40893242714599815,0.9441634048837743,0.055836595116225775
Reinsurance,1,0.2522730228319716,0.2522730228319716,1,0
Restaurant/Dining,16,0.35149329309790395,0.3368716616205691,0.9477883938095866,0.05221160619041338
Retail (Automotive),4,0.3316325757613725,0.2964645767726111,0.8659347266575251,0.1340652733424749
Retail (Building Supply),4,0.3602305511752161,0.3273380554179942,0.8847665317491974,0.11523346825080263
Retail (Distributors),253,0.4095098192832985,0.3636811925349068,0.8584171592876474,0.14158284071235258
Retail (General),11,0.39218955174446285,0.32728710548209644,0.7891369776712357,0.21086302232876428
Retail (Grocery and Food),8,0.39589810917128354,0.394992144473513,0.9971389116037278,0.002861088396272175
Retail (Special Lines),43,0.3926749969905448,0.36211979579269055,0.9019516948889138,0.0980483051110862
Rubber& Tires,16,0.29353256193213884,0.2689840169453109,0.8945502781173347,0.10544972188266537
Semiconductor,8,0.5010518370389238,0.4853820117304146,0.9607886307625656,0.0392113692374344
Shipbuilding & Marine,23,0.4009758861057829,0.34566058875525557,0.8248892771662784,0.1751107228337217
Shoe,12,0.23207910655101902,0.2244622550950095,0.9588435612641927,0.041156438735807294
Software (Entertainment),5,0.1867409361734939,0.18562479193932727,0.9925245760921386,0.007475423907861362
Software (Internet),6,0.504931470076568,0.49181521216706997,0.9674480141790859,0.032551985820914155
Software (System & Application),73,0.4048728665269909,0.40038760365605325,0.9861376752921507,0.013862324707849262
Steel,168,0.3982756101395821,0.3319041640643794,0.7876240541022863,0.21237594589771375
Telecom (Wireless),3,0.2821307972042973,0.19022814763403387,0.5722108145106091,0.4277891854893909
Telecom. Equipment,21,0.4027510512651054,0.37117080290004195,0.9011910123605065,0.09880898763949356
Telecom. Services,14,0.36291736247664463,0.2613607827711587,0.6363269023139511,0.363673097686049
Tobacco,6,0.21010525025921484,0.20992676654000755,0.9989380444572344,0.0010619555427655875
Transportation,48,0.40370110060761377,0.34334920225675075,0.8099391506511175,0.1900608493488825
Transportation (Railroads),1,0.2119792442669801,0.20936551171686643,0.9845692509527082,0.015430749047291808
Trucking,12,0.4328898998753725,0.37688642593175814,0.8359656436884686,0.1640343563115314
Utility (Water),1,0.2649326184290872,0.25086929454692874,0.9332942097026604,0.06670579029733958
Total Market,4446,0.3726692706546333,0.3056273872470252,0.7702925043858794,0.2297074956141206
Total Market (without financials),3850,0.36996431726051343,0.32944175746143645,0.8614687207082679,0.1385312792917321
