Industry_Name,Number_of_Firms,Beta,Cost_of_Equity,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Tax_Rate,After_tax_Cost_of_Debt,D_D_E_,Cost_of_Capital,Cost_of_Capital_Local_Currency_
Retail (Building Supply),4,0.6035838771272046,0.08593990080363469,0.8847665317491974,0.3602305511752161,0.074755,0.07105190755685986,0.0523285,0.1152334682508026,0.08206674251626406,0.1030777472253177
Retail (Distributors),253,0.5106533809592126,0.0786820290529145,0.8584171592876474,0.4095098192832985,0.074755,0.11871717586556674,0.0523285,0.1415828407123526,0.07495082154680735,0.0958236530331531
Retail (General),11,0.8955040221986375,0.10873886413371359,0.7891369776712357,0.39218955174446285,0.074755,0.12873396378144786,0.0523285,0.2108630223287643,0.09684400426181261,0.11814194609213913
Retail (Grocery and Food),8,0.0919019856634679,0.045977545080316845,0.9971389116037278,0.39589810917128354,0.074755,0.16997271816155796,0.0523285,0.0028610883962721934,0.045995715723742794,0.06630631214556293
Retail (Special Lines),43,0.7912918228457284,0.10059989136425139,0.9019516948889138,0.3926749969905448,0.074755,0.19057280582678862,0.0523285,0.0980483051110862,0.09586696325563261,0.11714593341593615
Rubber& Tires,16,0.882435532314457,0.1077182150737591,0.8945502781173347,0.29353256193213884,0.074755,0.18782379051237227,0.0523285,0.10544972188266533,0.10187738502407113,0.12327306240317926
Semiconductor,8,1.611640106554315,0.164669092321892,0.9607886307625656,0.5010518370389238,0.077424,0.13614267235197766,0.0541968,0.0392113692374344,0.16033732247715252,0.18286814427282527
Shipbuilding & Marine,23,1.2137705364534905,0.13359547889701762,0.8248892771662784,0.4009758861057829,0.074755,0.16733807271884005,0.0523285,0.17511072283372164,0.11936475947984805,0.1410999975280005
Shoe,12,0.02090926001662446,0.04043301320729837,0.9588435612641927,0.23207910655101902,0.068943,0.17582959409719123,0.0482601,0.04115643873580732,0.04075514822536204,0.06096398605498066
Software (Entertainment),5,0.7830360024669405,0.09995511179266806,0.9925245760921386,0.1867409361734939,0.068943,0.2752644087938206,0.0482601,0.007475423907861378,0.09956866966559597,0.12091951762026776
Software (Internet),6,-0.005743368169490874,0.038351442945962766,0.9674480141790859,0.504931470076568,0.077424,0.09836094109265196,0.0541968,0.03255198582091412,0.03886724078411311,0.0590394202168143
Software (System & Application),73,1.164011103524074,0.12970926718523018,0.9861376752921507,0.4048728665269909,0.074755,0.16094247210875315,0.0523285,0.013862324707849316,0.12863658986436602,0.15055186345396532
Steel,168,1.084854582186584,0.12352714286877221,0.7876240541022863,0.3982756101395821,0.074755,0.17255598788028068,0.0523285,0.2123759458977137,0.1084062637428832,0.12992871546604579
Telecom (Wireless),3,1.4439288990342127,0.15157084701457202,0.5722108145106091,0.2821307972042973,0.074755,0.09296194406235674,0.0523285,0.42778918548939093,0.10911604421915277,0.13065227808748592
Telecom. Equipment,21,1.119210033764422,0.12621030363700136,0.9011910123605065,0.4027510512651054,0.074755,0.14804069381106885,0.0523285,0.09880898763949353,0.11891011741464941,0.14063652746153577
Telecom. Services,14,0.9416250090142464,0.11234091320401264,0.6363269023139511,0.36291736247664463,0.074755,0.10790598898689607,0.0523285,0.36367309768604894,0.09051601299449422,0.11169108120797944
Tobacco,6,0.4425671945911314,0.07336449789756737,0.9989380444572344,0.21010525025921484,0.068943,0.17708060948133697,0.0482601,0.001061955542765558,0.07333783814307225,0.09417934956332608
Transportation,48,0.9530728273166269,0.11323498781342857,0.8099391506511175,0.40370110060761377,0.074755,0.14963682219873262,0.0523285,0.19006084934888245,0.10165904900875099,0.12305048685358111
Transportation (Railroads),1,0.9405038582158329,0.11225335132665655,0.9845692509527082,0.2119792442669801,0.068943,0.2452431289640592,0.0482601,0.015430749047291803,0.11126588752471464,0.1328438659232527
Trucking,12,0.7187386112992881,0.09493348554247441,0.8359656436884686,0.4328898998753725,0.074755,0.19007479888222803,0.0523285,0.1640343563115314,0.08794480416335253,0.10906994599176723
Utility (Water),1,1.8233554710432027,0.18120406228847413,0.9332942097026604,0.2649326184290872,0.074755,0.3184143222506394,0.0523285,0.06670579029733958,0.17260731605600743,0.1953763901541823
Total Market,4446,0.8021784340299848,0.10145013569774182,0.7702925043858794,0.3726692706546333,0.074755,0.16381051581513606,0.0523285,0.22970749561412063,0.09016652778114435,0.11133480987398214
Total Market (without financials),3850,0.8198477825445601,0.10283011181673016,0.8614687207082679,0.36996431726051343,0.074755,0.16701986722161594,0.0523285,0.13853127929173215,0.09583405892546407,0.11711239016673525
