Industry_Name,Number_of_firms,Book_Debt_to_Capital,Market_Debt_to_Capital_Unadjusted_,Market_D_E_unadjusted_,Market_Debt_to_Capital_adjusted_for_leases_,Market_D_E_adjusted_for_leases_,Interest_Coverage_Ratio,Debt_to_EBITDA,Effective_tax_rate,Institutional_Holdings,Std_dev_in_Stock_Prices,EBITDA_EV,Net_PP_E_Total_Assets,Capital_Spending_Total_Assets
Investments & Asset Management,102,0.1656214741254966,0.11240216384055257,0.12663636532385678,0.1124021840579248,0.12663639098596002,9.409054506053616,3.321541739002825,0.13017004131850357,0.13783169811320753,0.371141498427293,0.03716453150456975,0.04406514613283631,0.007843180405609095
Machinery,161,0.24441512262521872,0.041575067612249265,0.04337853305701485,0.04158726833576545,0.04339181540665814,10.731352063154654,1.3086210910303966,0.1918851708505093,0.10321128205128204,0.35668721722976887,0.03486457203389226,0.2263600436310678,0.05282132766619036
Metals & Mining,42,0.4694003130498904,0.261857228638114,0.3547514638055493,0.261857228638114,0.3547514638055493,4.227523204683221,1.921255142824494,0.18330685254117438,0.08849238095238095,0.3925262004245379,0.1307158093243121,0.4909007869277184,0.06731707927821777
Office Equipment & Services,17,0.26019609514877656,0.040148752876469566,0.04182809888176613,0.040178138132167765,0.04185999478484509,13.826891543687047,1.1121916230752846,0.15985527496174542,0.03825714285714286,0.406159781733717,0.037909835720572646,0.36863261317989365,0.10834871349473459
Oil/Gas (Integrated),1,0.2990145668214413,0.3575287737020783,0.5564899392650589,0.3575287737020783,0.5564899392650589,13.23640832851359,1.7392552163054862,0.24032085429917696,0.2284,0.1935286369851587,0.29730588147373144,0.4955173098892366,0.0799222669249491
Oil/Gas (Production and Exploration),8,0.6163071306338133,0.44802079365496283,0.8116624476156612,0.4480341306215548,0.8117062222091279,6.790445954314322,2.1707336301335713,0.12025435197395146,0.055793333333333334,0.36378520762892247,0.18937764458764297,0.4253466532373576,0.1184953543643735
Oil/Gas Distribution,11,0.2845880163905922,0.1462670623121045,0.1713264837927294,0.1462670623121045,0.1713264837927294,6.342842157225718,1.1117686050954918,0.10164692168245261,0.21228875,0.3719054250623931,0.16240871592088044,0.456889101756505,0.039347798852194235
Oilfield Svcs/Equip.,23,0.3223116905007442,0.21860483654576282,0.27976220838045346,0.21860483654576282,0.27976220838045346,6.4776264873314435,2.8689987297939745,0.2089970410286667,0.11291363636363635,0.3682890096552993,0.12210131212022568,0.459231112740592,0.0758519710342287
Packaging & Container,86,0.42300850821834063,0.25513717629815336,0.3425290780793211,0.25523259593680714,0.3427010829748275,3.1031580977040782,3.0241870893284384,0.15685462062597802,0.06239024390243901,0.38195167598473173,0.08568058212364374,0.45361689806840366,0.07655800406619455
Paper/Forest Products,49,0.289235344183383,0.1539798545937827,0.1820049503902169,0.153994441303834,0.18202533035499766,8.448650616665908,1.2810293666177124,0.1641268991503686,0.11154159999999999,0.33622749665462703,0.12010417351385326,0.4902110935174041,0.05481345563006275
