Industry_name,Number_of_firms,Total_Taxable_Income,Total_Taxes_Paid_Accrual_,Total_Cash_Taxes_Paid,Cash_Taxes_Accrual_Taxes,Average_across_all_companies,Average_across_only_money_making_companies,Aggregate_tax_rate,Average_across_only_money_making_companies,Aggregate_tax_rate
Household Products,70,30137.052,7028.774,7239.506000000002,1.0299813310258663,0.11830247115713513,0.23322699247424733,0.2362517969925485,0.24021944813978494,0.24165205417594574
Information Services,6,968.8639999999999,267.568,373.43,1.395645219159242,0.06613745569054391,0.27616672721868085,0.5094839495281137,0.3854307725336064,0.493189148069004
Insurance (General),36,61224.83,13611.782,7329.482000000001,0.538466014222091,0.15889835536105867,0.22232453728332113,0.21679008245871043,0.11971420745472058,0.12268180284360701
Insurance (Life),16,13029.43,2643.014,1923.2520000000002,0.727673784550517,0.14257900115046152,0.20284954905932187,0.16913403343625355,0.1476082990583625,0.2209991806980269
Insurance (Prop/Cas.),19,12531.799999999997,2401.6410000000005,2183.75,0.9092741171557279,0.13374846750805483,0.19164373832968934,0.1923585886786904,0.1742566909781516,0.176463648286434
Investments & Asset Management,350,23175.731000000003,3206.348000000001,1883.7910000000004,0.587519196294351,0.070415280569103,0.13834937935722505,0.14832677857999074,0.08128291616777913,0.0893914165513283
Machinery,219,22208.32799999999,5157.094999999998,5222.380999999999,1.0126594526569708,0.14738852291402182,0.23221446477195404,0.2367413937254485,0.23515417279499842,0.2406474594053392
Metals & Mining,120,39457.774,13526.511000000002,17075.496000000003,1.2623725364212546,0.07715381813375125,0.34280978445464266,0.35056845180720786,0.4327536571120308,0.4425627743129149
Office Equipment & Services,22,570.875,149.031,59.608,0.3999704759412471,0.22933357548858968,0.26105714911320343,0.26119828992458777,0.10441515217867309,0.10534743197077531
Oil/Gas (Integrated),12,192992.3,84819.87,91968.71,1.0842826097234057,0.3656332211074234,0.4394987261149797,0.4395061609409314,0.4765408257220625,0.4765485051261162
Oil/Gas (Production and Exploration),91,19306.715000000004,16352.694,13832.493999999999,0.8458847208906373,0.10793852127153462,0.8469951516868611,0.9446290508667823,0.7164602574803635,0.7977958504562248
Oil/Gas Distribution,29,5067.373999999999,228.643,132.09,0.5777128536626969,0.11695880092480608,0.04512060882026865,0.04554025120978875,0.026066755680555654,0.026660159561327456
Oilfield Svcs/Equip.,67,24596.659999999996,6331.599999999999,7362.565000000002,1.1628285109608951,0.13369690334216425,0.25741706394282804,0.2790221070676105,0.29933190116056424,0.31981373343846464
Packaging & Container,44,5964.0509999999995,1305.265,1430.8780000000002,1.0962356303126186,0.1260432671704044,0.21885543902961263,0.2120361733010419,0.23991713015197225,0.24189432762689042
Paper/Forest Products,38,5569.385,1057.823,1261.371,1.1924216055048906,0.16416974609436566,0.18993533397314066,0.1840986519496161,0.22648299587836002,0.23459502507252453
Power,73,106038.958,24408.583,10231.692000000003,0.4191841861528792,0.15380180860405573,0.23018505142232726,0.2029061084037331,0.0964899334450269,0.09963811927193818
Precious Metals,46,1034.489,320.75500000000005,466.3699999999999,1.4539757759037266,0.10177416289447845,0.3100612959635144,0.4509670498473413,0.45082161337626586,0.5920617490050206
Publishing & Newspapers,72,2658.34,302.01099999999997,313.606,1.0383926413276339,0.13033792698490154,0.11360886869249229,0.1908660477443013,0.1179706132398414,0.12494491930927819
Real Estate (Development),66,1185.7820000000004,283.586,340.121,1.1993575141227,0.10939555801582926,0.2391552578804535,0.4423330530268398,0.28683265558087395,0.6398531871224562
Real Estate (General/Diversified),48,667.3739999999999,139.004,296.5679999999999,2.1335213375154667,0.09546207118571931,0.2082850096048093,0.4614468856333122,0.4443805122764746,2.6347782052079336
Recreation,60,1527.3500000000004,373.30799999999994,276.371,0.7403297009439928,0.1490026464000997,0.24441549088290165,0.26811917187036455,0.18094804727141775,0.20194026208224877
Reinsurance,4,12452.099999999999,2910.6,331,0.11372225657939944,0.23639180216766836,0.23374370588093576,0.23374370588093576,0.026581861694011454,0.026581861694011454
Retail (Automotive),28,1838.1709999999998,286.3839999999999,271.065,0.9465088831778314,0.13157490928601703,0.15579834520292177,0.31442497872921027,0.14746451771897176,0.3006918691782653
Retail (Building Supply),29,1517.9899999999998,365.19599999999997,485.56999999999994,1.3296147821991477,0.19717956850228402,0.24057865993847127,0.2927503627263983,0.31987694253585336,0.395795634241372
Retail (Distributors),116,16337.473999999997,3376.9070000000006,3270.6509999999985,0.9685345199023834,0.1658335675207312,0.20669700836249236,0.2073567710755748,0.20019318775962547,0.2028254849912969
Retail (General),32,14971.7,1043.028,1155.5579999999998,1.1078878035872477,0.09569396444322185,0.06966663772317104,0.07807448605005507,0.07718281825043247,0.08254988695412205
Retail (Grocery and Food),32,11181.869999999999,2349.8169999999996,1764.109,0.750743142976666,0.16556934842536192,0.21014526192846097,0.410633347853389,0.15776511442182747,0.24949637092896304
Retail (REITs),33,2078.55,146.916,141.166,0.960861989163876,0.042197142709291834,0.07068196579346178,0.884302819158868,0.06791561425031872,0.4972752475526551
Retail (Special Lines),111,11517.468,2807.1689999999994,1491.5640000000005,0.5313410058318544,0.10549003076138613,0.24373143472158978,0.32206172040706704,0.12950450567781047,0.1789510522986156
Rubber& Tires,8,4162.8,887.26,897.369,1.0113935035953385,0.1492611595385358,0.2131401941001249,0.2311812457324937,0.21556860766791583,0.22693498217130717
Semiconductor,40,13765.428,2101.455,2006.928,0.955018308743228,0.04565675525877243,0.1526617988194773,0.17755035612482006,0.14579481291827615,0.16972011751108487
Semiconductor Equip,22,12051.604000000003,1788.5939999999998,2191.6469999999995,1.225346277578925,0.11851777704671926,0.14841128201689993,0.1505313343205983,0.1818552119701244,0.18553733774190928
Shipbuilding & Marine,62,26701.770000000004,1935.6019999999999,2257.644,1.1663782120497912,0.08624458968434004,0.07248965143509212,0.07283809128308238,0.08455035003297533,0.0846772179065121
Shoe,10,1065.86,227.68200000000002,83.71999999999998,0.3677058353317345,0.13388795632262263,0.2136134201489877,0.22573965387509412,0.07854690109395229,0.08399297717582142
Software (Internet),28,257.91200000000003,63.961000000000006,83.50199999999998,1.3055142977752063,0.08375136200617288,0.24799544030522036,0.4651970668418706,0.32376159310152286,0.6305987901855498
Software (System & Application),339,7339.387000000001,2497.844999999999,2898.9580000000024,1.160583623083099,0.07885390997249406,0.3403342813234945,0.47336621998294987,0.394986393277804,0.5553612582496005
Steel,59,9960.639,2257.0130000000004,5371.0430000000015,2.379712921458583,0.12835856670190565,0.22659319346881265,0.4100015698131626,0.5392267504122981,0.7991975353189366
Telecom (Wireless),12,14768.96,1411.2,1935.5600000000002,1.3715702947845805,0.19421470338822303,0.09555175178211602,0.08844079848869399,0.13105594435897994,0.13110538975126987
Telecom. Services,64,32356.378000000008,7030.540000000002,4623.9619999999995,0.6576965638485804,0.12245939952883556,0.21728451806317753,0.2502368397188757,0.14290728090764665,0.1665925628707449
Tobacco,6,19043.100000000002,4245.6,4167.258,0.9815474844544939,0.17671211228109826,0.22294689415063723,0.22298071994555035,0.2188329631205003,0.21885204060197125
Transportation,59,13444.660000000002,3568.3240000000005,3746.965,1.050062998763565,0.15447321046423965,0.2654082736194147,0.37931073649877123,0.2786954076934634,0.3733313020945007
Transportation (Railroads),7,352.46000000000004,69.03999999999999,13.065000000000001,0.1892381228273465,0.16260038342080962,0.19588038358962714,0.1593991115267711,0.03706803608920161,0.03818389057750761
Trucking,6,299.95000000000005,79.755,79.06400000000001,0.9913359663970912,0.21633647512822854,0.2658943157192865,0.2660011606886753,0.26359059843307214,0.263703130524111
Utility (General),16,19137.600000000002,5849,5654.07,0.9666729355445375,0.1961296789313186,0.3056287099740824,0.5057827665035695,0.2954430022573363,0.5669036255715088
Utility (Water),12,174.838,36.41199999999999,9.122,0.2505218059980227,0.09589754359406201,0.20826136194648756,0.45446612175776313,0.05217401251444194,0.07881594636160984
Total Market,6971,1848486.6140000026,447113.6879999999,385018.43699999904,0.8611197718464819,0.11569402250988077,0.24188094445135067,0.2589527795534448,0.20828846369995865,0.2303962766460535
Total Market (without financials),6149,1358894.4370000027,346515.07499999995,347363.15499999904,1.0024474548473803,0.11402158700273608,0.25499778758752784,0.2805680522510425,0.2556218831588302,0.29150994341615366
