Industry_Name,Number_of_Firms,Capital_Expenditures_US_millions_,Depreciation_Amort_US_millions_,Cap_Ex_Deprecn,Acquisitions_US_millions_,Net_R_D_US_millions_,Net_Cap_Ex_Sales,Net_Cap_Ex_EBIT_1_t_,Sales_Invested_Capital_LTM_
Insurance (Life),16,955.324,2165.2870000000003,0.4411997116317605,829.4,0,-0.00375939322275336,-0.015313910943114349,0.37578858872420523
Insurance (Prop/Cas.),19,93.05600000000001,795.01,0.11705009999874218,-305.4940000000001,0,-0.012531569991342507,-0.09350207510443578,0.9991755690287056
Investments & Asset Management,350,965.508,1277.6119999999987,0.7557130020694867,1847.5650000000003,-5.986199999990276,0.0163565219735662,0.12424923814330262,0.6862260486883128
Machinery,219,6263.868000000004,6909.118,0.906608918822924,5889.895999999998,541.3859999999913,0.02709336517265312,0.31371105636318647,1.939112346469358
Metals & Mining,120,26217.36400000001,12565.810000000001,2.086404616972563,1072.6170000000002,44.65200000000914,0.03552369982692617,0.4989748621045307,1.899013495540417
Office Equipment & Services,22,98.778,255.71899999999994,0.38627556028296695,8.662,-2.9693999999999505,-0.02196931380936678,-0.3134723901026921,1.858241634383473
Oil/Gas (Integrated),12,82966.585,71524.90999999997,1.1599676951708158,10657.269999999999,152.0779999999504,0.019088922062527963,0.1792919633157675,1.7624328990773144
Oil/Gas (Production and Exploration),91,10143.448999999995,7479.744,1.3561224822667721,451.622,-10.308600000000297,0.06908598954224529,0.3009712671797197,1.0152743187349544
Oil/Gas Distribution,29,1631.2949999999996,1891.341,0.862507078311103,30.523,1.0717999999997119,-0.012619626191456077,-0.04892634278313827,0.5627397362689244
Oilfield Svcs/Equip.,67,13905.903999999997,4445.975,3.127751280652724,-1547.3869999999997,23.857799999987037,0.02838210679278266,0.4181598573788687,2.853900908772792
Packaging & Container,44,5863.039000000001,3151.5099999999998,1.8603904160227958,980.056,26.7488000000003,0.04995086031558239,0.6489302640324123,1.529559504429946
Paper/Forest Products,38,4854.624999999999,2769.103,1.7531399157055547,1047.305,-3.1713999999992666,0.06293420279229368,0.7367175470280976,0.8447818712501408
Power,73,60835.005999999994,34622.211,1.7571092152375822,4280.287,9.7216000000044,0.045253309415275486,0.33954543128556147,1.3685344628100702
Precious Metals,46,2276.5670000000005,1538.668,1.4795699917071132,0,1.4033999999999196,0.09597692718525633,0.9796995994083607,0.6695937098265453
Publishing & Newspapers,72,631.375,1867.64,0.33806033282645476,179.41400000000004,0.23380000000042855,-0.039587821281917894,-0.7605388808093991,1.5112165223362992
Real Estate (Development),66,219.892,369.408,0.5952551108801108,164.227,0.0706000000000131,0.0009373352667321138,0.019947153337236696,0.8024713340284492
Real Estate (General/Diversified),48,76.313,152.63700000000003,0.49996396679704125,994.784,0,0.23604031235262898,1.5084520807828725,0.1241739310451556
Recreation,60,1039.471,1309.1769999999997,0.793988131474965,73.604,8.658400000000483,-0.013158201022619064,-0.15140090816038546,1.3169771262621912
Reinsurance,4,49.7,816.3999999999996,0.0608770210681039,0,0,-0.004282639696891663,-0.06071091227454349,4.218449887925661
Restaurant/Dining,43,2415.7050000000004,3021.1300000000006,0.799603128630678,606.006,174.44739999999956,0.0016405143930842568,0.09189388483249472,2.824878256714757
Retail (Automotive),28,620.2020000000001,515.3710000000001,1.2034088064714545,271.947,7.79099999999994,0.009651833126481504,0.5707494619013004,4.21380299708109
Retail (Building Supply),29,1162.0779999999997,1286.22,0.9034830744351664,262.426,15.123399999999947,0.0032048676541249622,0.09890458341093564,2.2526038929919685
Retail (Distributors),116,8544.551000000001,4852.788,1.760750933277943,6958.919999999999,39.16140000000087,0.04749055204141091,0.6809019727618809,1.6569377165765626
Retail (General),32,3742.139,3957.1420000000003,0.9456671001444982,39.335,-5.589999999999236,-0.0012834728033176484,-0.06299784206949266,1.7697419062276605
Retail (Grocery and Food),32,13828.442000000003,7706.320000000002,1.7944287286279312,380.8989999999999,23.92120000000068,0.015431585866227436,0.5211734282506452,3.5546049887216995
Retail (Special Lines),111,3703.1490000000003,8371.696000000002,0.44234155181936846,-226.64599999999987,30.950799999998708,-0.025433014464317203,-0.6326434214824712,3.032906817359117
Rubber& Tires,8,3035.3999999999996,2351.2,1.2910003402517862,226.65999999999997,77.13619999999992,0.02225903488238487,0.24617929647547954,1.217516995844709
Semiconductor,40,9969.253999999997,5506.09,1.8105868229542192,722.886,465.54059999999845,0.09889905755600127,0.5379333394661565,0.9783077098438839
Semiconductor Equip,22,4203.806,1104.8260000000002,3.8049484715240216,328.251,770.7856000000011,0.10759067675882704,0.43833863708173004,1.5443134134344272
Shipbuilding & Marine,62,9407.515,12546.962000000001,0.7497842904122926,1273.7059999999997,10.562000000005355,-0.012735456557693413,-0.07930840165218594,1.1385356767433459
Shoe,10,358,574.4669999999999,0.6231863623149808,1.13,9.039999999999964,-0.011248473282442743,-0.17197962876532993,2.0505248003605834
Software (Entertainment),56,219.17400000000006,797.3350000000002,0.27488320467557553,402.356,9.003400000000056,-0.02175536173876366,-0.12036868868197136,0.44706899930676847
Software (Internet),28,514.544,568.4619999999998,0.9051510918935658,36.498999999999995,112.97700000000003,0.028331151725743086,0.5306912897184591,3.5299134629911513
Software (System & Application),339,1513.4809999999995,3268.0339999999997,0.4631166628009377,877.1050000000007,687.2610000000113,-0.0026785498376498866,-0.03714430869349402,1.1478077729483043
Steel,59,12089.278999999999,3546.4369999999994,3.4088520393848816,1088.061,88.24040000000241,0.046610852572859046,1.9753783418713033,1.5838967796845649
Telecom (Wireless),12,8822.8,11061.392,0.79762113122833,1477.077,-0.2845999999990454,-0.01049187312550462,-0.1063788411366708,0.6185968782219058
Telecom. Equipment,54,1292.7299999999996,1913.5910000000003,0.6755518812536218,297.90400000000005,201.77739999999903,-0.00207315109913472,-0.026664421264447014,1.129696637367468
Telecom. Services,64,56930.68999999999,72917.14399999997,0.7807586375023138,1612.293,225.42140000001382,-0.04088332882078902,-0.3463553921849339,0.6884561432932284
Tobacco,6,1132.55,1865.4899999999998,0.6071059078311865,306.359,75.64840000000186,-0.005707826754517906,-0.020775755600545488,0.4229459434377871
