Industry_Name,Number_of_firms,Average_Company_Age_years_,Market_Cap_millions_,Book_Equity_millions_,Enteprise_Value_millions_,Invested_Capital_millions_,Total_Debt_including_leases_millions_,Revenues_millions_,Gross_Profit_millions_,EBITDA_millions_,EBIT_Operating_Income_millions_,Net_Income_millions_
Retail (Grocery and Food),29,28.344827586206897,25156.499999999996,10983.556999999999,30771.130264748994,16291.897264748997,12491.648264748994,40738.55,10363.720000000001,918.4350000000002,283.8853470502011,-500.5300000000001
Retail (REITs),2,16,15745.699999999999,25446.3,24572.100000000002,35573.3,9259.4,1820.3000000000002,1363.2,1097.3,1238.7,-194.6
Retail (Special Lines),71,27.785714285714285,115661.12000000001,51581.780000000006,125361.21936313677,55368.992363136764,29702.95936313675,94353.60000000002,24267,3491.228000000001,2461.2055273726496,-927.566
Rubber& Tires,15,38.333333333333336,21875.899999999998,12912.399999999998,25445.528000000006,17777.695999999996,7666.528000000001,17500.5,3457.92,2378.1400000000003,1466.7099999999998,1249.9599999999998
Semiconductor,173,16.827380952380953,469040.3899999997,126261.36999999998,454795.4341701647,154339.39717016465,56971.531170164526,169249.90999999992,33289.64500000002,23958.795999999995,12928.375765967092,12153.702999999994
Semiconductor Equip,59,14.068965517241379,184334.3,47325.30000000001,184685.08092612462,62316.7539261246,18543.350926124596,49625.6,15406.029999999995,12635.525999999996,10171.072414775079,9713.75
Shipbuilding & Marine,56,30.87037037037037,123249.67000000001,142539.3,123604.6473704638,168516.92037046378,57475.98737046382,91250.56000000001,25169.939999999988,26117.056999999997,20169.48932590724,18557.178000000004
Shoe,21,29.142857142857142,16847.6,11525.07,17158.736796116416,11692.83179611642,2582.456796116417,16278.23,4296.001,1196.7749999999999,717.0860407767167,513.239
Software (Entertainment),33,14.09375,392761.8920000001,117637.29000000001,421974.58838861465,154840.31538861457,52995.50638861456,101092.737,47014.157,21472.586,18089.815322277092,26992.215
Software (Internet),19,18.36842105263158,22998.899999999994,8376.390000000001,26335.94280615911,11691.322806159109,5776.242806159108,21060.2,1836.089,965.741,463.86443876817833,209.86
Software (System & Application),189,17.681318681318682,264746.36499999993,67659.13999999997,251497.53081963284,51861.72076963607,11337.508819633009,48639.19,21123.97499999999,-404.60400000000004,-1074.5277639266003,-1636.961000000001
Steel,111,25.345794392523363,160132.99000000002,160881.54400000002,212575.6352185557,228917.93321855573,94962.94421855577,359862.02999999997,22941.829999999994,20938.982999999997,6828.5499562888535,5183.304999999999
Telecom (Wireless),8,18.25,204487.52,197714.1,184902.64899999998,207578.19200000004,21250.228999999996,188443,51715.42999999999,49397.89,21422.96,19285.28
Telecom. Equipment,125,23.6260162601626,157690.25999999992,50904.82000000001,155601.6878228391,51863.94982283896,20499.68882283896,80285.71999999997,19514.859000000004,4666.582999999997,2983.544835432208,3262.5939999999996
Telecom. Services,16,26.625,116759.35000000002,140438.90999999997,142405.4965505637,157694.92255056373,38583.61655056371,142413.7,78570.87100000001,36085.52,10548.343689887257,7971.102000000001
Tobacco,2,16.5,5722,3131.3,5654.652118934179,2998.252118934179,64.65211893417946,1657.8,662.7,275.80199999999996,233.03157621316407,245.3
Transportation,141,26.251851851851853,197751.45999999993,114645.97899999995,258708.6264180547,199264.7264220496,101804.8244180547,256764.27299999987,28808.228,18287.129000000004,10628.164716389067,9654.539999999995
