Industry_Name,Number_of_firms,Total_Dividends_US_millions_,Special_Dividends_as_of_Total_Dividends,Dividend_Payout,Dividend_Yield,Market_Cap_US_millions_,ROE,Institutional_Holdings,Std_Dev_in_Stock_Prices
Engineering/Construction,345,33018.75449999998,0.0002631837612166747,0.8599374112797988,0.07335541921270883,450120.18000000034,0.07953174265960843,0.08013396694214871,0.3183133236538304
Entertainment,112,1333.3436999999997,0.04081468266584228,0.004283189465648714,0.012186311361191773,109413.23099999999,-0.022431412234917975,0.08387045454545455,0.4216681331660082
Environmental & Waste Services,120,2124.488,0,2.985844389476051,0.033350228575547716,63702.35200000002,0.01577482125512612,0.07453106796116503,0.2807677994428052
Farming/Agriculture,52,1097.853,0,0.005099245628142075,0.024057938747474177,45633.71000000001,-0.08102856219645937,0.07123122448979591,0.30219741295541724
Financial Svcs. (Non-bank & Insurance),115,4136.081700000001,-0.0010783152566836384,2.133166420827876,0.029808190676404125,138756.54999999993,0.023969691680145646,0.066907,0.37169911441294223
Food Processing,231,9315.125600000007,0.10465774073942698,0.7640209779369468,0.02510964491451368,370977.99,0.08807423704183608,0.08455167464114834,0.28285751742665766
Food Wholesalers,14,13.818999999999999,0,0.07649344610751926,0.006205905467609746,2226.7499999999995,0.057574096500732995,0.018179999999999998,0.41450978500565505
Furn/Home Furnishings,103,8056.9333,0,0.5379956694228627,0.04165042560604791,193441.80000000002,0.18266129101112505,0.08995011363636365,0.2954489457064705
Green & Renewable Energy,41,6956.308199999998,0,0.8040139043397603,0.03825634575692898,181834.09999999992,0.10380868096003867,0.0930444736842105,0.2931018480289313
Healthcare Products,140,2797.8711000000008,0.0033264577485360193,0.5316706553304243,0.012657116180715217,221051.22999999998,0.09044823526378663,0.135306962962963,0.33605620339408704
Healthcare Support Services,75,2790.9422,2.328962599082131e-05,0.8138181663372644,0.031916701059882854,87444.56999999998,0.06393985617903533,0.11898433962264149,0.3592459110336466
Heathcare Information and Technology,45,710.2660000000001,0,0.28044325026503814,0.006895607992278646,103002.66500000001,0.09037708041908134,0.16354571428571427,0.3784127491930924
Homebuilding,4,22.19,0,2.805309734513276,0.03501104449353109,633.8,0.013605091159270721,0.01742,0.43412105511810106
Hospitals/Healthcare Facilities,25,249.79749999999996,0,0.4059200241799454,0.006306679896183638,39608.399999999994,0.07775945574724191,0.09315809523809523,0.36086831134495234
Hotel/Gaming,80,350.29170000000005,0.4764600474404617,0.003970703354094857,0.0034930954634853186,100281.17000000001,-0.03701749094049444,0.0831327272727273,0.3405963376293836
Household Products,34,409.64,0,0.822386978002895,0.019026024000360412,21530.510000000006,0.0466162113396273,0.048852758620689656,0.2594404247158052
Information Services,3,12.920000000000002,0,1.1353251318101936,0.017328326180257512,745.6,0.07188881869867339,0.06125,0.254814001419472
Insurance (General),6,2106.78,0,0.8912456744477254,0.06354496690611376,33154.159999999996,0.06805057804674638,0.13939600000000002,0.3305644797757673
Insurance (Life),8,13456.8375,0,0.8191602851299032,0.043552412564814,308980.3,0.06322453762948396,0.16569375,0.2621537692307264
Insurance (Prop/Cas.),3,2311.5499999999997,0,0.3446987772144348,0.04316128321517063,53556.1,0.10311878188824546,0.057653333333333334,0.1698605885437505
Investments & Asset Management,42,592.7785,0,0.002696696628909094,0.028829052062205516,20561.844999999994,-0.017632338709124996,0.19221043478260863,0.4516306902367724
Machinery,421,6024.498599999999,-0.010291312873738573,0.5460790976880394,0.014286880097298315,421680.4899999998,0.0814390394690948,0.09100844059405945,0.30487098047369054
Metals & Mining,129,6993.830499999999,0,0.6137140868960878,0.02905806864360221,240684.62999999998,0.08549174948589018,0.09775909836065573,0.2950865035573305
Office Equipment & Services,10,143.689,0,0.6319750181426339,0.014190875467263182,10125.45,0.07249928254838814,0.07389000000000001,0.2920955291337081
