Industry_Name,Number_of_firms,Average_Unlevered_Beta,Average_Levered_Beta,Average_correlation_with_the_market,Total_Unlevered_Beta,Total_Levered_Beta
Oil/Gas (Production and Exploration),15,0.8851936403223315,0.8426828439328701,0.10119157655863889,8.747700850469268,8.327598725023806
Oil/Gas Distribution,21,0.5763356811166555,0.7751956949031602,0.1612708383253415,3.573712935961667,4.8067939805664714
Oilfield Svcs/Equip.,56,0.9497580646932382,0.9160858703330538,0.16411933177898486,5.786996902791757,5.581827932170247
Packaging & Container,22,0.6026996704591551,0.6632370473734861,0.17558347671990704,3.4325534595751805,3.7773317840806295
Paper/Forest Products,47,0.7876348385849619,1.1703204143976453,0.1912753456478864,4.1178063796831275,6.11851156474738
Power,101,0.3974965108993803,0.7413651343511144,0.15857680188717163,2.506649813648036,4.675117202064651
Precious Metals,19,1.1561711887896076,1.408975850316117,0.21571064351902317,5.359824484913035,6.531786412253977
Publishing & Newspapers,41,1.8433421252239388,1.4760056383957127,0.2085439028931421,8.839108214870551,7.077673419932196
R.E.I.T.,9,0.5233702416880417,1.1241998968545939,0.22770663034612262,2.298440940839093,4.937053853661476
Real Estate (Development),206,0.4533672575980044,1.4554536619019913,0.2061199728290074,2.1995309400419334,7.061196651279416
Real Estate (General/Diversified),56,0.6399229197217844,1.2134903451223586,0.21227413446148294,3.014606189987307,5.716618975744998
Real Estate (Operations & Services),125,0.8256826523093539,1.0582270421965092,0.17859920696344234,4.623103687567682,5.925149725962215
Recreation,62,0.8519301982085965,0.8064007962713318,0.17165776518349765,4.962957529465128,4.69772395911895
Reinsurance,1,0.4170842799578222,1.3835324650489105,0.3065941943351178,1.360378923228843,4.512585334661174
Restaurant/Dining,48,1.1200227377450007,1.1664899334665546,0.1531250459833484,7.314432009161962,7.617891155398606
Retail (Automotive),28,0.7971704517811794,1.3564221607523625,0.18203042006537662,4.379325452827467,7.451623526799535
Retail (Building Supply),7,0.4822922227930658,0.5065577870926476,0.1142255095316097,4.2222812117077995,4.4347168086167965
Retail (Distributors),136,0.5383483512973837,0.8745141806182284,0.14765101085526736,3.646086458731335,5.922845875233848
Retail (General),58,0.7685302232794213,0.9358394314542015,0.16246220534041408,4.73051699420851,5.760351642976264
Retail (Grocery and Food),29,0.903336901414161,1.0132952821111059,0.16340821714957476,5.528099609503093,6.201005676376678
Retail (REITs),2,1.1733500469318165,1.6615697681038855,0.48009031744038844,2.4440193944913466,3.460952466116333
Retail (Special Lines),71,1.1357289326074471,1.1680956200191515,0.17169199794713663,6.614920591448497,6.803436584032321
Rubber& Tires,15,1.0607010110218773,1.153737835627337,0.23324846184290138,4.547515566196041,4.946389899044256
Semiconductor,173,1.4592361686371793,1.3766066410015918,0.20511598124657718,7.1142002674232385,6.711357314214948
Semiconductor Equip,59,1.170374299151055,1.1458070496329555,0.14227913509175052,8.225902542887432,8.05323316657827
Shipbuilding & Marine,56,0.9702972245710604,0.8957239869415086,0.17608967747680895,5.5102447711555875,5.0867489780000055
Shoe,21,1.1176727311361616,1.100490169053725,0.1805163885102682,6.19153053282243,6.096344925442193
Software (Entertainment),33,1.8499477709398322,1.9284684177392415,0.18968351238710904,9.75281271239026,10.166768811216409
Software (Internet),19,0.8750575769977502,0.9517387989546391,0.1824645387000501,4.795767896776043,5.216020634667999
Software (System & Application),189,1.4262321556491626,1.3409490406895093,0.1851413654188609,7.703476489019499,7.242838669012554
Steel,111,1.0101991414788756,1.2162291069133513,0.22666766856813464,4.456741218808704,5.36569293096056
Telecom (Wireless),8,1.5809734458247389,1.3959116698032363,0.202648730635711,7.8015462562494715,6.888331673355407
Telecom. Equipment,125,0.9935302690098253,0.9521747215279812,0.1769464985128001,5.614862556536854,5.381144750140971
Telecom. Services,16,0.7526586302402394,0.8609785476343114,0.2274732672382818,3.308778386920595,3.784965847140284
Tobacco,2,1.6273077553844186,1.6036625317396105,0.21322102015419686,7.632023119519758,7.521127750818733
Transportation,141,0.7345390007842024,0.8793154784299702,0.1520769099203351,4.830049487256073,5.7820446173623345
Transportation (Railroads),10,0.8956253893923022,0.9284974259832903,0.2083893552772501,4.297846155340919,4.455589512947903
Trucking,7,0.9964911960064177,1.2040222873418922,0.1491979656230409,6.678986485138291,8.069964508657836
Utility (General),4,0.44863370226718935,0.6200469849703366,0.17319891130578227,2.5902801517910676,3.579970453022335
Utility (Water),38,0.3358101824428483,0.621853508338659,0.1504378305684917,2.2322189915518615,4.133624541039497
Total Market,7504,0.7602381254542101,1.0660229283721931,0.18150600126372737,4.188501317648377,5.873210367426181
