Industry_Name,Number_of_firms,Total_Dividends_US_millions_,Special_Dividends_as_of_Total_Dividends,Dividend_Payout,Dividend_Yield,Market_Cap_US_millions_,ROE,Institutional_Holdings,Std_Dev_in_Stock_Prices
Household Products,43,962.5143000000003,0,0.5061780679062631,0.01168528149880175,82369.79999999999,0.06737004520782847,0.18725395348837207,0.20681247690844434
Information Services,14,63.05783999999999,0,0.23996438085090183,0.012831499908430497,4914.3,0.11405926498226913,0.18659285714285714,0.22825311573750007
Insurance (General),6,2.4976000000000003,0,0.028118843092442277,0.001986795004375149,1257.1000000000001,0.22801437556154536,0.21982,0.21666618341100968
Insurance (Life),5,2703.3523999999998,0,0.5412446323059501,0.0407155299784174,66396.1,0.04141116619117619,0.34992000000000006,0.21143627384461552
Insurance (Prop/Cas.),7,2504.0114,0,0.3617353103484143,0.028777208646454524,87013.7,0.11936446735170012,0.35704142857142857,0.19855989094769258
Investments & Asset Management,14,80.36341000000002,0,0.21011140451788332,0.025560881043257003,3144,0.1940488572080871,0.19942142857142858,0.21701859168065035
Machinery,229,3973.7650140000014,0,0.40470176523139423,0.01816619399616128,218745.05000000016,0.07034116229809599,0.22751053333333338,0.1876687400925546
Metals & Mining,21,577.8636599999999,0,0.9841337579617835,0.028730710830254903,20113.1,0.02204931975982245,0.2421133333333333,0.22768100143702258
Office Equipment & Services,26,176.98875999999998,0,0.32941317922517843,0.023527292062690257,7522.7,0.08011048488101626,0.15822360000000002,0.16574883988300604
Oil/Gas (Production and Exploration),2,706.4904,0,0.20491049364812347,0.03715339591385975,19015.5,0.11478356981629567,0.3257,0.2591655194432855
Oil/Gas Distribution,3,39.8128,0,0.17855675651432928,0.014536054620468072,2738.9,0.10019322369012312,0.22336666666666669,0.1533729431324583
Oilfield Svcs/Equip.,19,1178.48922,0,0.6597043310811188,0.04138389647785932,28477.000000000004,0.04233191783808377,0.21875263157894737,0.2133988489879614
Packaging & Container,30,181.80448,0,0.29031304492236154,0.019780922434146822,9190.9,0.0497760524343319,0.18223666666666666,0.16431291234873543
Paper/Forest Products,15,162.42002,0,1.351596668025863,0.018515290901608604,8772.21,0.008008490389998136,0.16078,0.19469340015528297
Power,25,1118.4780599999997,0,0.07365919589054626,0.015769025558024376,70928.80000000002,0.15148386247186707,0.269752,0.1651553820500174
Precious Metals,2,48.2072,0,0.7670198886237072,0.043038300151772166,1120.1,0.07906654925147817,0.30415,0.147583786182315
Publishing & Newspapers,53,280.56104,0,0.20110633881160178,0.011678666365848606,24023.379999999994,0.06262388759833461,0.15076039215686277,0.1788668190870267
R.E.I.T.,54,2626.2700000000004,0,0.67527602219491,0.026397512094265416,99489.3,0.0549177260679796,0.5558444444444445,0.11188738237287275
Real Estate (Development),15,80.33265999999999,0,0.3907211540799898,0.0225428111214628,3563.5600000000004,0.07783759431515744,0.107378,0.20158374390924766
Real Estate (General/Diversified),56,2107.2367099999997,0,0.25130725437892754,0.020420303913406705,103193.20999999999,0.10014149817281287,0.16124519230769235,0.18324883709111348
Real Estate (Operations & Services),43,381.05939,0,0.2679414684841657,0.018906397652201305,20155.050000000007,0.11053068444474842,0.1294746511627907,0.2170935152722084
Recreation,51,1121.45914,0,0.2816206016679879,0.009778577899695948,114685.30000000002,0.12049913892939662,0.18853098039215688,0.21681668183289055
Restaurant/Dining,107,200.30751500000008,0,0.2724727367451679,0.0039116367843865015,51208.10700000005,0.055987542330684495,0.09825572815533981,0.17272340984057225
Retail (Automotive),29,225.59749999999997,0,0.3160213092616562,0.022178174507596793,10172.050000000001,0.12692679023869846,0.1481,0.19658657584907946
Retail (Building Supply),19,60.009319999999995,0,0.050632230847114414,0.002794562625735787,21473.6,0.0843443458260508,0.15936842105263155,0.1621378901183775
Retail (Distributors),144,7948.870586999999,0,0.2584932071178266,0.026682578771131657,297904.8860000001,0.13232685605372915,0.18745088235294122,0.17987860821037677
Retail (General),42,491.97666,0,0.02087876881399794,0.007004383072507347,70238.4,-0.0039698732207234565,0.20151625000000004,0.22131609083745543
