Industry_Name,Number_of_Firms,Beta,ROE,Cost_of_Equity,_ROE_COE_,BV_of_Equity,Equity_EVA,ROC,Cost_of_Capital,_ROC_WACC_,BV_of_Capital,EVA,E_D_E_,Std_Dev_in_Stock,Cost_of_Debt,Std_Dev_in_Stock2,After_tax_Cost_of_Debt,D_D_E_
Drugs (Pharmaceutical),41,0.8131255157552305,0.06424067864804525,0.08457896653701949,-0.020338287888974238,143408.65000000005,-2916.6864094691464,0.0708561221185924,0.07709045067242735,-0.006234328553834961,163550.38325772557,-1019.62682433429,0.8439433238359688,0.20696313085062598,0.052743,0.20696313085062598,0.0365930934,0.15605667616403113
Education,36,0.8033576177352901,0.07524201964205428,0.08402903387849683,-0.008787014236442556,2424.39,-21.303149444688966,0.11824430035670215,0.07041574736713226,0.047828552989569895,2430.1222981256506,116.22923310703804,0.7130174636774492,0.20118325639415782,0.052743,0.20118325639415782,0.0365930934,0.2869825363225508
Electrical Equipment,53,1.1718870640546244,0.07172725488842292,0.10477724170627536,-0.03304998681785244,55038.2,-1819.0117844783263,0.06201759012719569,0.09405571212217273,-0.03203812199497704,63898.17328419789,-2047.1774709353147,0.8427562732624779,0.19453237345964866,0.052743,0.19453237345964866,0.0365930934,0.15724372673752207
Electronics (Consumer & Office),10,1.4819749930246615,0.08480444620131804,0.12223519210728845,-0.03743074590597041,84746.5,-3172.1247079203213,0.05529819995595454,0.10185562200711468,-0.04655742205116014,133889.87166518738,-6233.567263491796,0.7620379415288733,0.22737189301419405,0.052743,0.22737189301419405,0.0365930934,0.23796205847112675
Electronics (General),137,1.3451909371599384,0.0732206564217585,0.11453424976210454,-0.04131359334034604,122965.15000000002,-5080.132202134652,0.07438408005819243,0.10824826833701269,-0.03386418827882026,125190.33499115192,-4239.469074828949,0.9193496514744022,0.21383062598333494,0.052743,0.21383062598333494,0.0365930934,0.08065034852559788
Engineering/Construction,157,0.6483366139500876,0.06713065569528931,0.07530135136538993,-0.00817069567010062,87077.49000000002,-711.4836705062302,0.06277239159982236,0.06630829895488646,-0.003535907355064108,85076.56275520589,-300.82284398970563,0.7676709600689238,0.15071533908286974,0.052743,0.15071533908286974,0.0365930934,0.2323290399310763
Entertainment,73,0.9922920107275608,0.1367974907439788,0.09466604020396167,0.042131450540017115,42520.96999999998,1791.4701444685506,0.21002628888009253,0.0931965844068129,0.11682970447327963,27745.65943588056,3241.5171923101884,0.972808290280915,0.270158552306991,0.058554999999999996,0.270158552306991,0.040625458999999996,0.027191709719085026
Environmental & Waste Services,36,0.9585395967089906,0.12144630109157502,0.09276577929471617,0.028680521796858843,5591.92,160.3791834462909,0.1259250975820918,0.08089266124174059,0.045032436340351215,5718.224939034798,257.5056005468932,0.788631825880122,0.2219287353216066,0.052743,0.2219287353216066,0.0365930934,0.21136817411987793
Farming/Agriculture,11,0.7617207511898219,0.09187608982462704,0.08168487829198698,0.010191211532640063,16682.73,170.01723037192033,0.060086182525511164,0.06280040638509138,-0.0027142238595802143,28339.06346686911,-76.91856221993412,0.5811992815957155,0.15059874863220654,0.052743,0.15059874863220654,0.0365930934,0.41880071840428446
Financial Svcs. (Non-bank & Insurance),47,1.2504858170636146,0.20994534869658418,0.10920235150068151,0.10074299719590267,105508.91999999998,10629.284831702718,0.005833956204492597,0.041694563129772516,-0.03586060692527992,1178560.9586568736,-42263.911275875216,0.07025921849660977,0.21040505912336824,0.052743,0.21040505912336824,0.0365930934,0.9297407815033902
Food Processing,121,0.2835852824655841,0.08492164196597163,0.054765851402812385,0.030155790563159243,70818.51999999996,2135.588457112903,0.06270156230309482,0.05193184891803929,0.010769713385055522,80868.76481809992,870.9334188943978,0.8440521529899585,0.12153571326438545,0.052743,0.12153571326438545,0.0365930934,0.1559478470100415
Food Wholesalers,37,0.5154311060990837,0.08261674690109076,0.06781877127337842,0.014797975627712345,6879.839999999998,101.80770464256048,0.06688293802606254,0.0569661939972193,0.009916744028843245,8580.454600360707,85.09017192288759,0.6524470238831377,0.18766414952780097,0.052743,0.18766414952780097,0.0365930934,0.34755297611686237
Furn/Home Furnishings,20,0.8329213516085959,0.05451430050064395,0.08569347209556395,-0.03117917159492,7613.195,-237.37311329058696,0.06230092172778869,0.08281464801676446,-0.020513726288975763,6619.3096956809895,-135.78670731916327,0.9413685972434345,0.23321107930007545,0.052743,0.23321107930007545,0.0365930934,0.05863140275656553
Green & Renewable Energy,9,1.564952454918399,0.017344359125812163,0.12690682321190588,-0.10956246408609371,1269.75,-139.1169387733175,0.019272600886297307,0.07936312152893976,-0.060090520642642455,3766.0146464854447,-226.30178085512745,0.4489690547057251,0.39956507741381997,0.058554999999999996,0.39956507741381997,0.040625458999999996,0.5510309452942749
Healthcare Products,40,1.0509246739641454,0.1502973462292636,0.09796705914418138,0.05233028708508222,33250.8,1740.0239098086522,0.09282620974215892,0.0925833911633929,0.00024281857876602697,36659.495396847815,8.901606570542294,0.912280917234049,0.1967687888000725,0.052743,0.1967687888000725,0.0365930934,0.08771908276595093
Healthcare Support Services,47,0.9091512568699731,0.06708630834636371,0.08998521576177948,-0.022898907415415767,19109.160000000003,-437.57888562636646,0.07468558762408993,0.08262613283119587,-0.007940545207105937,14950.287923508937,-118.71343711587265,0.8621691252368799,0.21478365578769482,0.052743,0.21478365578769482,0.0365930934,0.13783087476312006
Heathcare Information and Technology,36,1.41311639313074,0.13629498359265013,0.11835845293326067,0.017936530659389466,3842.79,68.92632065259525,0.29215114177944007,0.11631610134150282,0.17583504043793724,2069.6054212745703,363.9091529403882,0.9737260654914263,0.3308138124410262,0.058554999999999996,0.3308138124410262,0.040625458999999996,0.02627393450857377
Homebuilding,51,0.8876805059181411,0.10993257655537889,0.08877641248319135,0.02115616407218754,39151.070000000014,828.2864605216997,0.053291022521139084,0.06347164367407192,-0.010180621152932834,62545.8601492637,-636.7557068639728,0.5150793538299426,0.16781089392226775,0.052743,0.16781089392226775,0.0365930934,0.48492064617005737
Hospitals/Healthcare Facilities,9,1.1399887694604547,0.20888608705185835,0.1029813677206236,0.10590471933123474,364.84000000000003,38.638277800807685,0.13356176842740908,0.09360585186830718,0.0399559165591019,529.0436488463557,21.138423889427795,0.8587775334084274,0.2425839684628581,0.052743,0.2425839684628581,0.0365930934,0.1412224665915726
Hotel/Gaming,33,1.0954086111634391,0.12467459479110539,0.10047150480850163,0.02420308998260376,4313.084,104.38996015452855,0.05029332000587101,0.07371844427375736,-0.02342512426788635,9202.972051672026,-215.58076394430222,0.552968618505723,0.2882864267735125,0.058554999999999996,0.2882864267735125,0.040625458999999996,0.44703138149427696
Household Products,43,0.7285354791697047,0.06737004520782847,0.07981654747725438,-0.01244650226942591,28225.2,-351.3050158550002,0.07383363855897379,0.07690577071114355,-0.003072132152169754,26332.29720642933,-80.89629688836135,0.9326574696943858,0.20681247690844434,0.052743,0.20681247690844434,0.0365930934,0.06734253030561421
Information Services,14,1.3093128289818075,0.11405926498226913,0.11251431227167577,0.0015449527105933641,2303.89,3.5594011004089454,0.2088031786170987,0.10385082154077183,0.10495235707632689,1393.5872466622686,146.26026632871364,0.8858884135468474,0.22825311573750007,0.052743,0.22825311573750007,0.0365930934,0.1141115864531526
Insurance (General),6,0.6767610068547464,0.22801437556154536,0.07690164468592223,0.15111273087562313,389.55,58.86596431259899,0.3749575532674069,0.0756742295097502,0.29928332375765665,154.4933445905349,46.23728166749227,0.969549509049195,0.21666618341100968,0.052743,0.21666618341100968,0.0365930934,0.03045049095080503
Insurance (Life),5,1.1128658124808972,0.04141116619117619,0.10145434524267452,-0.06004317905149833,120612.29999999999,-7241.945924713031,0.11277514004909735,0.05150731641608307,0.06126782363301428,53477.7069974135,3276.462720615544,0.2299404126867387,0.21143627384461552,0.052743,0.21143627384461552,0.0365930934,0.7700595873132613
Insurance (Prop/Cas.),7,1.3331333635219076,0.11936446735170012,0.1138554083662834,0.005509058985416718,57992.3,319.48300139998196,0.20749549143447887,0.10271040004633246,0.10478509138814641,42214.955685556015,4423.497989457538,0.8557510433797573,0.19855989094769258,0.052743,0.19855989094769258,0.0365930934,0.14424895662024267
Investments & Asset Management,14,2.2358146722804935,0.1940488572080871,0.1646763660493918,0.029372491158695307,1971.0499999999997,57.89464869834638,0.046049106552934496,0.13975879147701617,-0.09370968492408167,1893.8754596384067,-177.47447260816546,0.8054580113627824,0.21701859168065035,0.052743,0.21701859168065035,0.0365930934,0.1945419886372176
Machinery,229,1.0839536583156197,0.07034116229809599,0.0998265909631694,-0.029485428665073407,139591.03999999995,-4115.901652203407,0.0627036287035984,0.0885550537128224,-0.025851425009224008,152607.02398978942,-3945.1090365528903,0.8217473699112265,0.1876687400925546,0.052743,0.1876687400925546,0.0365930934,0.1782526300887735
Metals & Mining,21,1.1935267600610633,0.02204931975982245,0.10599555659143786,-0.08394623683161541,26630.300000000003,-2235.513470696968,0.02717704794137164,0.07622409940425097,-0.049047051462879326,38221.59530540864,-1874.6565519377245,0.5710316922748675,0.22768100143702258,0.052743,0.22768100143702258,0.0365930934,0.4289683077251325
Office Equipment & Services,26,0.6546533952378077,0.08011048488101626,0.07565698615188858,0.004453498729127675,6706.800000000002,29.8687252765135,0.09289548875110439,0.07216678855397363,0.02072870019713076,5674.601685492332,117.62711707670344,0.9106541270711889,0.16574883988300604,0.052743,0.16574883988300604,0.0365930934,0.08934587292881117
Oil/Gas (Production and Exploration),2,1.068626892684842,0.11478356981629567,0.09896369405815661,0.015819875758139063,30037.4,475.1879360975263,0.14524568243944755,0.08033152964694,0.06491415279250755,37510.69084063168,2434.9747165812782,0.6806183047422938,0.2591655194432855,0.058554999999999996,0.2591655194432855,0.040625458999999996,0.3193816952577062
Oil/Gas Distribution,3,0.6538169706376825,0.10019322369012312,0.07560989544690153,0.024583328243221597,2225.4,54.70773867246535,0.05832928871069456,0.06252539702569432,-0.004196108314999759,3293.449449733273,-13.819670621057169,0.6646445189055084,0.1533729431324583,0.052743,0.1533729431324583,0.0365930934,0.33535548109449165
Oilfield Svcs/Equip.,19,0.6891679942284498,0.04233191783808377,0.07760015807506172,-0.03526824023697795,42199.600000000006,-1488.3056307043748,0.02572885837357703,0.053578672806944797,-0.027849814433367766,81109.44084598415,-2258.8828763548786,0.4142110522061948,0.2133988489879614,0.052743,0.2133988489879614,0.0365930934,0.5857889477938052
Packaging & Container,30,0.6515057552657821,0.0497760524343319,0.07547977402146354,-0.02570372158713164,12581.07,-323.3803205482143,0.03519034707132244,0.05939136460511792,-0.024201017533795485,16336.168462686284,-395.3518994005076,0.5862745505856932,0.16431291234873543,0.052743,0.16431291234873543,0.0365930934,0.4137254494143067
Paper/Forest Products,15,0.6327654571567366,0.008008490389998136,0.07442469523792428,-0.06641620484792614,15005.2,-996.5884369841013,0.02089026608758122,0.049379681943627005,-0.028489415856045783,29548.179230624322,-841.8103658902313,0.3379869718022115,0.19469340015528297,0.052743,0.19469340015528297,0.0365930934,0.6620130281977885
Power,25,0.34461386009154316,0.15148386247186707,0.058201760323153884,0.09328210214871319,100238.4,9350.448668023571,0.04515210072497438,0.04187806180384605,0.0032740389211283263,300396.0848850959,983.5084736683725,0.24457632775963445,0.1651553820500174,0.052743,0.1651553820500174,0.0365930934,0.7554236722403656
Precious Metals,2,0.6911070336869088,0.07906654925147817,0.07770932599657297,0.0013572232549051988,794.9,1.0788567653241425,0.0528108035926859,0.05383672531980732,-0.0010259217271214247,1699.2520000000002,-1.7432995466545353,0.4193874494533474,0.147583786182315,0.052743,0.147583786182315,0.0365930934,0.5806125505466526
Publishing & Newspapers,53,0.6991495243697493,0.06262388759833461,0.07816211822201688,-0.015538230623682273,22277.250000000015,-346.14904816142615,0.0460245989365761,0.0708007405906143,-0.024776141654038193,20861.52249874139,-516.8680365477214,0.8229119479487126,0.1788668190870267,0.052743,0.1788668190870267,0.0365930934,0.17708805205128736
R.E.I.T.,54,0.6699746166013884,0.0549177260679796,0.07651957091465816,-0.021601844846678563,70818.30000000002,-1529.8059289055368,0.03414967012400527,0.061434216147150514,-0.027284546023145242,125465.53227125926,-3423.270089573588,0.6221716588454521,0.11188738237287275,0.052743,0.11188738237287275,0.0365930934,0.3778283411545479
Real Estate (Development),15,0.9606148286582006,0.07783759431515744,0.0928826148534567,-0.015045020538299259,2641.4100000000003,-39.74006770006905,0.04824832169940451,0.060581060564048446,-0.012332738864643936,5469.8664793221415,-67.45843491394926,0.42615333271012135,0.20158374390924766,0.052743,0.20158374390924766,0.0365930934,0.5738466672898787
Real Estate (General/Diversified),56,0.8845776518419701,0.10014149817281287,0.08860172179870293,0.011539776374109939,83732.53000000001,966.2546714384519,0.04607193686883856,0.05709853836691988,-0.011026601498081323,218868.5984748166,-2413.3768158253724,0.3942700586087996,0.18324883709111348,0.052743,0.18324883709111348,0.0365930934,0.6057299413912004
Real Estate (Operations & Services),43,1.0558271465907556,0.11053068444474842,0.09824306835305954,0.01228761609168888,12866.780000000002,158.10205297622068,0.06613787222955417,0.06301460672963652,0.003123265499917649,34669.412434169404,108.28177975805725,0.4285729775195195,0.2170935152722084,0.052743,0.2170935152722084,0.0365930934,0.5714270224804805
Recreation,51,0.9898248157489942,0.12049913892939662,0.09452713712666838,0.02597200180272824,33047.23199999999,858.3027690791781,0.12351244790996294,0.09025189083741063,0.03326055707255231,32500.273558394598,1080.9772035625463,0.9262049390263818,0.21681668183289055,0.052743,0.21681668183289055,0.0365930934,0.07379506097361825
Restaurant/Dining,107,0.7076663674600806,0.055987542330684495,0.07864161648800254,-0.022654074157318044,13130.54600000001,-297.46036281007605,0.07790615347122881,0.07057646392768635,0.007329689543542461,15602.52585558435,114.3616706165275,0.8081941536106563,0.17272340984057225,0.052743,0.17272340984057225,0.0365930934,0.19180584638934378
Retail (Automotive),29,0.8139889192116196,0.12692679023869846,0.08462757615161419,0.04229921408708427,5624.250000000001,237.90135482928375,0.12364011206685473,0.07531144159459059,0.048328670472264135,5931.304584670044,286.65206474314806,0.8060531929697832,0.19658657584907946,0.052743,0.19658657584907946,0.0365930934,0.19394680703021683
Retail (Building Supply),19,0.8154533111364074,0.0843443458260508,0.08471002141697974,-0.00036567559092894053,14051.92,-5.138444149686198,0.04826255640961888,0.07000061892714955,-0.021738062517530674,20017.191431781055,-435.1349587694359,0.6942988030191899,0.1621378901183775,0.052743,0.1621378901183775,0.0365930934,0.30570119698081005
Retail (Distributors),144,0.778446886419387,0.13232685605372915,0.0826265597054115,0.04970029634831766,232385.1099999999,11549.608833936392,0.0488905244516247,0.06500433267293172,-0.01611380822130702,378096.6603461132,-6092.577073933928,0.6171866155904018,0.17987860821037677,0.052743,0.17987860821037677,0.0365930934,0.3828133844095982
Retail (General),42,0.945268890605411,-0.0039698732207234565,0.09201863854108464,-0.09598851176180809,34877.94000000002,-3347.8815539176385,0.03392920253803958,0.06311714336492148,-0.029187940826881906,66161.76917807203,-1931.1258037713856,0.4785528026364926,0.22131609083745543,0.052743,0.22131609083745543,0.0365930934,0.5214471973635074
Retail (Grocery and Food),57,0.5488731609884041,0.070127803878552,0.06970155896364716,0.0004262449149048386,46327.70199999998,19.746947396726714,0.07808176368036208,0.05644676472270204,0.021634998957660044,57003.62942162978,1233.2734631197998,0.5996554350891217,0.1579296257132782,0.052743,0.1579296257132782,0.0365930934,0.4003445649108784
Retail (REITs),4,0.7523258211788442,0.05229702056132294,0.08115594373236892,-0.028858923171045985,8447.9,-243.79729705667935,0.03307541411530992,0.0633354914707492,-0.03026007735543928,14749.6,-446.3240369617872,0.6001051968465411,0.0966856080397478,0.052743,0.0966856080397478,0.0365930934,0.39989480315345893
Retail (Special Lines),131,0.8095486918478231,0.10572111374577109,0.08437759135103244,0.021343522394738648,55970.11599999998,1194.5994242821196,0.12984200428400292,0.07837211420146395,0.051469890082538966,51783.87455723124,2665.3103315086782,0.8743216438996043,0.2116884168053513,0.052743,0.2116884168053513,0.0365930934,0.1256783561003957
Rubber& Tires,6,1.048272666557178,0.10899142816354145,0.09781775112716912,0.011173677036372329,32221.8,360.0359867305819,0.08841255237097664,0.08319691749552138,0.005215634875455261,39293.48122513898,204.94045105588137,0.7611937056994018,0.1898975810702042,0.052743,0.1898975810702042,0.0365930934,0.23880629430059824
