Industry_name,Number_of_firms,_Dividends_,_Net_Income_,Payout,Dividends_Buybacks,Cash_Return_as_of_Net_Income,Dividends_Buybacks_Stock_Issuances,FCFE_before_debt_cash_flows_,FCFE_after_debt_cash_flows_,Net_Cash_Returned_FCFE_pre_debt_,Net_Cash_Returned_FCFE_post_debt_,Net_Cash_Returned_Net_Income,Cash_Firm_Value
Insurance (Prop/Cas.),228,18029.7483,56755.678999999975,0.31767302616536414,27115.785,0.4777633794144197,25472.734,44839.81599999998,43728.43699999999,0.5680829287970319,0.5825210263060627,0.44881383588063517,0.08350760620755274
Investments & Asset Management,1374,32047.62951999999,57179.31100000002,0.5604759651615945,86546.65599999997,1.5136008896644442,68954.10699999996,52232.309000000016,69912.64700000006,1.3201428066295124,0.9862894620482601,1.2059275600575168,0.09919470404178478
Machinery,1492,24689.324674000036,59563.708999999966,0.41450280864813255,28551.44300000003,0.4793429334630596,15530.12600000002,22820.483000000022,29051.055999999953,0.680534500518679,0.5345804297096823,0.26073134565881434,0.07489843094644807
Metals & Mining,1815,56786.94716000004,66069.54499999995,0.859502621972046,61430.13000000002,0.9297798251826929,45655.38000000001,6073.46099999997,25819.039000000077,7.51719324451087,1.768283474841952,0.691020045620112,0.08636939084417201
Office Equipment & Services,137,917.46806,1750.8319999999999,0.5240183295713124,727.68,0.4156195454503916,584.7729999999999,1587.3069999999998,1533.516999999999,0.36840573373644797,0.3813280191872671,0.3339972081844517,0.11948923176085254
Oil/Gas (Integrated),36,178300.98199999996,364336.17100000003,0.48938589191024884,264125.94999999995,0.7249512154531589,262922.83199999994,321248.152,241061.59600000008,0.8184415392372434,1.09068734449099,0.721648995976301,0.06552673807134218
Oil/Gas (Production and Exploration),590,49792.04810000001,129820.258,0.3835460571954803,69976.695,0.5390275453003645,65218.55700000001,65563.85499999995,68172.81299999994,0.9947334091322125,0.9566651885114389,0.5023758079420857,0.061033186032755274
Oil/Gas Distribution,174,25159.359759999996,43278.344,0.5813383192295897,29204.378999999997,0.6748035229813784,24391.761,26172.99999999998,33939.841999999946,0.9319436442135031,0.7186763273677007,0.5636019945679992,0.039579034143963986
Oilfield Svcs/Equip.,444,23239.058719999994,91931.95400000001,0.2527854321469115,50298.17499999999,0.5471239630129039,46056.164999999986,53750.92700000004,33087.88599999988,0.8568441061490893,1.3919343472109444,0.5009810299474324,0.08726077807595153
Publishing & Newspapers,324,2646.7384039999997,6399.282999999999,0.41359921166168145,3958.200999999999,0.6185382018579269,3404.7729999999992,6319.398,3861.565000000004,0.5387812256800409,0.8817080639585234,0.5320553880801958,0.14037649493687
R.E.I.T.,659,67642.9428,22271.527999999984,3.0371936222786355,60715.71799999998,2.7261586183040527,27495.016999999985,44355.71899999998,103371.10999999568,0.6198753536156182,0.26598357123185706,1.2345366245189826,0.02117120206717456
Recreation,326,3901.472839999999,8013.065,0.48688895447622094,6143.686,0.7667086189866175,5110.28,3555.789999999999,3906.162999999986,1.4371714865051088,1.308260817584934,0.6377434851707805,0.08113132496386065
Reinsurance,34,3652.1226,17356.03,0.21042384692812818,2529.973,0.1457691073361823,-520.9590000000003,10829.052999999996,12577.482,-0.04810753073237341,-0.04141997579483718,-0.030016023249556514,0.12790010299535454
Restaurant/Dining,394,13997.865305000001,21857.917,0.6404025280634015,23781.013,1.0879816681525507,21015.664999999997,18786.693999999992,14490.983000000007,1.1186462610185701,1.450258067378865,0.9614669595460535,0.038925087185995064
Retail (Automotive),204,4194.615000000001,16049.133000000007,0.26136084734296855,16527.558999999997,1.0298100838219728,15060.528999999997,6628.508000000004,17931.262000000046,2.272084306151548,0.8399034602249389,0.9384014077271333,0.048011441907635934
Retail (Building Supply),120,12557.38892,26539.003,0.4731673198122778,31373.350999999995,1.1821601210866888,30499.952999999994,25924.996999999992,24710.225999999988,1.176468911452526,1.2343048987087375,1.149250143270265,0.018006451959146356
Retail (Distributors),1028,25075.127636999994,69319.95800000004,0.36173027740438013,40397.553,0.582769438492735,33274.051999999996,34875.80000000014,17223.25200000021,0.9540727954627525,1.9319262123087781,0.4800068113139938,0.08007115365201256
