Industry_Name,Number_of_Firms,Dividends_in_millions,Buybacks_in_millions,Equity_Issuance_in_millions,Net_Equity_Change_in_millions,Net_Equity_Change_as_of_Book_Equity,Debt_Repaid_in_millions,Debt_Raised_in_millions,Net_Debt_Change_in_millions,Net_Change_in_Debt_as_of_Total_Debt,Change_in_Lease_Debt_in_millions
Telecom. Equipment,453,11527.52596,9091.570000000003,4015.5469999999978,-5076.023000000006,-0.030349244259111643,62565.673,61933.14400000001,-632.528999999995,-0.007985592505375767,1409.5949999999975
Telecom. Services,288,61204.45515000001,7775.951,1596.0550000000003,-6179.896,-0.0070635355368795704,179831.3040000001,163783.36,-16047.944000000105,-0.014548826197911908,861.3139999999839
Tobacco,56,28341.56986,3996.897,290.798,-3706.099,-0.026647069730002734,25410.690999999995,40720.047,15309.356000000003,0.10078393118196873,4.68900000000076
Transportation,443,20408.73153000001,15932.594000000001,4835.19,-11097.404000000002,-0.035955398176342614,123680.59300000004,124790.67600000004,1110.0829999999987,0.002921967711249049,14765.771000000008
Transportation (Railroads),49,12516.010760000001,10658.530999999999,111.978,-10546.553,-0.03997970035371803,39557.80499999999,40245.869999999995,688.0650000000023,0.0025054774832380176,1576.6190000000006
Trucking,106,1409.4000899999999,2171.515999999999,525.0539999999999,-1646.4619999999993,-0.029020874607292583,16373.475,17329.329000000005,955.8540000000048,0.020527368073851672,2601.282000000001
Utility (General),50,25161.721999999994,2635.975,3103.511,467.53600000000006,0.001315591983470121,104335.95000000001,112583.11000000003,8247.160000000018,0.015865626159310996,1444.5419999999986
Utility (Water),102,5236.22216,58.42000000000001,3481.404,3422.984,0.0433792703324235,24394.49900000001,27995.990999999987,3601.4919999999765,0.030517982274821446,328.8719999999996
Total Market,47698,2490471.0777800065,1394704.5390000036,653998.9269999989,-740705.6120000047,-0.0012007471660058706,26569389.400000047,27445675.623000093,876286.2230000459,0.01290974315213615,13267.036999995355
Total Market (without financials),42566,1977742.458870007,1130525.8320000037,543116.5729999989,-587409.2590000047,-0.0009719378339187224,18339751.34600004,18671412.178000096,331660.8320000544,0.011818437672370152,13450.13599999575
