Industry_Name,Number_of_Firms,CEO_Holding,Corporate_Holdings,Institutional_Holdings,Insider_Holdings
Insurance (Prop/Cas.),228,0.02652376068376068,0.2547473885350318,0.34233994047619054,0.1575349214659686
Investments & Asset Management,1374,0.12667307414104892,0.28407519031141903,0.2591542722513091,0.24680936734693876
Machinery,1492,0.10181283314669681,0.2592844751381217,0.17773881270903014,0.2321238528481011
Metals & Mining,1815,0.048659431728492485,0.20860756191950472,0.09781209183673469,0.1669658956109134
Office Equipment & Services,137,0.10263807228915665,0.3142062886597939,0.17821910112359557,0.27356473214285704
Oil/Gas (Integrated),36,0.00036375000000000003,0.2933370967741936,0.291480909090909,0.004527407407407407
Oil/Gas (Production and Exploration),590,0.04982756097560978,0.19465739348370917,0.2436084186046513,0.1465436400817997
Oil/Gas Distribution,174,0.08840852272727272,0.3580912213740459,0.25201521739130434,0.1603490370370371
Oilfield Svcs/Equip.,444,0.05958008230452671,0.325197921686747,0.2508694626865672,0.13798649595687335
Packaging & Container,426,0.12344313008130083,0.34537580745341656,0.1500274305555556,0.2897492582417581
Paper/Forest Products,266,0.0701631506849315,0.34182803827751207,0.13737234693877545,0.2321569298245615
Power,488,0.04805571428571427,0.44582445026178086,0.18580538095238094,0.09381851963746236
Precious Metals,853,0.0361443251533743,0.1744177312390926,0.14916482051282048,0.13463800756620448
Publishing & Newspapers,324,0.11770530864197537,0.33888467532467537,0.16288428571428565,0.2490770428015566
R.E.I.T.,659,0.017631238095238096,0.16301556451612914,0.43394219387755084,0.0730470498915402
Real Estate (Development),884,0.1448116590909092,0.407206896551724,0.08857630067567569,0.30215479166666653
Real Estate (General/Diversified),336,0.10443136363636363,0.399071935483871,0.13044703252032525,0.22047690476190485
Real Estate (Operations & Services),748,0.10854910714285712,0.38806853432282046,0.18444292639138238,0.2402716370106764
Recreation,326,0.09815918918918923,0.2574954782608696,0.20165785992217894,0.23335641791044776
Reinsurance,34,0.011444117647058825,0.18688111111111114,0.3305016129032257,0.061024814814814816
Restaurant/Dining,394,0.10223778688524585,0.24871477966101704,0.23030357859531783,0.2385074344023324
Retail (Automotive),204,0.1277780991735537,0.2849511724137931,0.23115603773584908,0.2510037058823529
Retail (Building Supply),120,0.1348470114942529,0.2545863440860215,0.30660367346938766,0.2412531775700935
Retail (Distributors),1028,0.13177299307958495,0.2933619310344828,0.18275548956661317,0.3085566925638182
