Industry_Name,Number_of_Firms,Dividends_in_millions,Buybacks_in_millions,Equity_Issuance_in_millions,Net_Equity_Change_in_millions,Net_Equity_Change_as_of_Book_Equity,Debt_Repaid_in_millions,Debt_Raised_in_millions,Net_Debt_Change_in_millions,Net_Change_in_Debt_as_of_Total_Debt,Change_in_Lease_Debt_in_millions
Financial Svcs. (Non-bank & Insurance),172,22615.112000000005,54711.02599999997,2466.9990000000016,-52244.026999999965,-0.14365641282016392,1803565.009,1592262.3450000004,-211302.66399999964,-0.02610142751766906,510.2520000000077
Food Processing,82,11853.449999999999,5461.523,565.9669999999998,-4895.5560000000005,-0.028664917366496716,34111.417,37464.55799999999,3353.1409999999887,0.02571398219009291,3372.818999999996
Food Wholesalers,14,1054.3,748.82,153.655,-595.1650000000001,-0.04548577568813511,8945.27,7521.889999999999,-1423.380000000001,-0.05723884060162353,1101.8690000000015
Furn/Home Furnishings,31,1579.4912000000002,219.76599999999996,97.051,-122.71499999999996,-0.0059191419595608485,29119.931,31070.062,1950.1310000000012,0.10714861255988592,653.3970000000008
Green & Renewable Energy,17,284.2,5.267,426.258,420.991,0.040474455361778225,5357.010000000001,6326.374000000001,969.3639999999996,0.03016318722283002,88.87500000000006
Healthcare Products,230,7563.3409999999985,7194.111000000003,3073.8479999999972,-4120.263000000005,-0.018897749150677247,16405.39599999999,26151.890000000007,9746.494000000017,0.07759995334366131,1492.9980000000014
Healthcare Support Services,119,14897.92,32806.433,3481.954999999999,-29324.478,-0.09108904817608925,131486.47500000003,153721.76799999992,22235.29299999989,0.08129371069760424,914.3939999999711
Heathcare Information and Technology,128,1752.4940000000001,9780.639,1170.5110000000004,-8610.127999999999,-0.05018278501713752,15632.945000000003,23915.714000000004,8282.769,0.07422034540977646,2205.913999999999
Homebuilding,32,1349.61,4501.742000000001,465.75899999999996,-4035.983000000001,-0.044022756676058455,24487.542,20767.148999999998,-3720.3930000000037,-0.10864402631944756,-97.79599999999891
Hospitals/Healthcare Facilities,32,908.4,5346.701999999999,1241.9490000000003,-4104.752999999999,-0.3578740739287651,11171.747000000001,12028.563999999997,856.8169999999955,0.00974998276604112,268.27199999999357
Hotel/Gaming,68,1647.7530000000002,28508.052000000003,478.61600000000004,-28029.436,-0.5144412605830111,43891.562000000005,44724.869999999995,833.30799999999,0.003655622712263649,9172.253
Household Products,93,29193.220000000005,7564.115,6396.125999999999,-1167.9890000000005,-0.013195332653910406,31985.985,40958.77499999998,8972.789999999979,0.08897165075545994,-1025.2930000000015
Information Services,18,760.9000000000001,1181.774,502.722,-679.0519999999999,-0.04566298723349887,6194.554000000001,6611.357,416.802999999999,0.019568271084331647,-677.534999999999
Insurance (General),21,3084.8239999999996,4311.146000000001,389.926,-3921.2200000000007,-0.056308018165173855,9055.621,8907.055999999999,-148.5650000000005,-0.002658500796306578,-316.3170000000009
Insurance (Life),23,5932.29,9530.785999999998,428.103,-9102.682999999999,-0.07744624390077891,16309.154999999999,7077.400000000001,-9231.754999999997,-0.04821843862483839,-513
