Industry_Name,Number_of_firms,Price_Sales,Net_Margin,EV_Sales,Pre_tax_Operating_Margin
Office Equipment & Services,71,1.3162917414760027,0.05980642689723789,1.3283180931481076,0.050624145727346734
Oil/Gas (Integrated),16,1.5554260361651417,0.10714931286340267,1.6578944402581017,0.1977066768836786
Oil/Gas (Production and Exploration),103,1.7342412165606442,0.23591747973354538,2.0205312761479077,0.35396269882421977
Oil/Gas Distribution,111,0.7092227696150556,0.0707747640443275,0.9811979910296298,0.087473698589922
Oilfield Svcs/Equip.,225,0.6160922152557646,0.03344513264571925,0.8114266068692821,0.05741322084435454
Packaging & Container,320,1.1689876373680206,0.02999564955057277,1.3665110000423684,0.05298248849830437
Paper/Forest Products,188,0.8386282314540888,0.061385637003664076,1.454841426602821,0.07277794105352721
Power,321,1.0019655935027894,0.05334388958201963,1.969832639218915,0.10633682840187982
Precious Metals,62,1.2041137701114006,0.06202314363487754,1.447026429323917,0.11326505133266908
Publishing & Newspapers,170,2.292491946737278,0.09318945386345077,1.9967970809309077,0.08429923064323575
R.E.I.T.,213,6.773096416409357,0.40288073513962214,11.247832089663437,0.6127115320944487
Real Estate (Development),773,0.5629138748462031,-0.03424444587030422,1.672238615955821,0.049102433317052045
Real Estate (General/Diversified),218,2.2574431987222874,0.09599006818426438,4.1979044343253005,0.17708205773996155
Real Estate (Operations & Services),374,2.574502261300101,0.09626221719989073,4.135184683273211,0.2678753894379916
Recreation,143,2.07014367845672,0.05114357564063639,2.2192247006114925,0.09603551410914483
